stt,noidung,dich,stt1,stt2,stt3,stt4,isdapan1,isdapan2,isdapan3,isdapan4,dich1,dich2,dich3,dich4
1,海外市場に進出するために販売部門を(拡充)した。,"Để bước ra thị trường quốc tế, chúng tôi đã mở rộng bộ phận bán hàng", こうじゅ, かくじゅ, こうじゅう, かくじゅう,,,x,,,,「KHUẾCH SUNG」 Nghĩa là mở rộng nhưng mở rộng về mặt quy mô.,
2,近年、科学技術は(著 しい)進歩を見せている 。,"Những năm gần đây, khoa học và kỹ thuật đang cho thấy sự tiến bộ vượt bậc", かやがかしい, かがやかしい, いちじるしい, いちるじしい,,,x,,,,"Rõ ràng, vượt bậc",
3,みなさんの(声援)に力づけられました。,Tôi đã được tiếp thêm sức mạnh nhờ vào những lời cỗ vũ từ mọi người., せいえん, しえん, せ いいん, しいん,x,,,,"(Thanh viện) Tiếng cổ vũ, lời động viên.",,,
4,いつのまにか(傾いて)いました。,Không biết nó nghiêng từ bao giờ, きずついて, かたむいて, かわいて, ういて,,x,,,"傷つく：làm sước, tổn thương",(Khuynh) Nghiên,,
5,ガラスの(破片)が落ちているから、気をつけてください。,"Mảnh vỡ của kính bị rơi xuống, hãy chú ý.", ひがた, はがた, ひへん, はヘん,,,,x,,,,Mảnh vỡ
6,私の故郷は自然が(ゆたか)なところです。,Quê tôi là một nơi thiên nhiên phong phú, 豐か, 富か, 恵か, 福か,x,,,,(Phong) Phong phú,"(Phú) - cách đọc đúng là とみ : tài sản, của cải",(Huệ trong ân huệ),(Phúc trong hạnh phúc)
7,この店の商品は、買ってから一週間以内なら(へんぴん)できます。,"Sản phẩm ở cửa hàng này, bạn có thể trả lại trong vòng 1 tuần sau khi mua.", 返品, 変品, 逆品, 戻品,x,,,,(Phản phẩm) Trả lại,Biến - Phẩm,Ngược - Phẩm,Lệ - Phẩm
8,道具を(らんぼう)に使ってはいけません。,Không được sử dụng dụng cụ một cách thô bạo, 荒暴, 乱暴, 乱亡, 荒亡,,x,,,Hoang - Bạo,Loạn - Bạo,Loạn - Vong,Hoang - Vong
9,この二人はライバルとして常に(きそって)きた。,Hai người này luôn thi đua với nhau giống như là đối thủ vậy., 争って, 競って, 戦って, 討って,,x,,,"あらそう- tranh, cạnh tranh, ganh đua","cạnh - cạnh tranh, thi đua",たたかう- chiến - chiến tranh,Thảo - thảo luận
10,特に目立った(じゃ くてん)はない。,Không có điểm yếu đặc biệt nào cả., 悪点, 欠点, 低点, 弱点,,,,x,Ác Điểm,Khuyết Điểm - けってん,Đê Điểm,Nhược Điểm
11,この動物は、敵に襲われると、体をボール(　　　)に丸めて身を守る。,, 式, 感, 状, 性,,,x,,"Thức - しき. Thường đi với cách thức, hình thức",Cảm - かん. Thường đi với cảm giác như 安心感,Trạng - じょう. Đi với hình dạng,"Tính - せい . ĐI với tính chất, tính cách"
12,明日のシンポジウムは(　　　)会場で行われるので、ご注意くだ さい。,Vì cuộc họp ngày mai sẽ được tổ chức ở hội trường khác nên mọi người hãy chú ý, 離, 違, 別, 補,,,x,,"(Li) Rời, xa",(Vi) Sai,(Biệt) Khác,"(Bổ) Bổ trợ, ứng viên"
13,あの会社は、(　　　)社長になってから経営方針が変わった。,"Công ty đó, từ khi có ông giám đốc hiện tại thì phương châm kinh doanh đã thay đổi.", 現, 直, 今, 近,x,,,,(Hiện) Hiện tại,"(Trực) Ngay, thẳng",(Kim) Bây giờ,(Cận) Gần
14,最近、物価が(　　　)している。,Vật giá gần đây đang tăng, 増加, 上達, 増大, 上昇,,,,x,じょうか：Tăng thêm,"じょうたつ：Phát triển, tiến bộ","ぞうだい：Nâng cao, tăng thêm",じょうしょう : Sự tăng lên cao; sự tiến lên
15,ちょうどいい（ )で警官が通りかかったので、助かった。,"Cảnh sát đi ngang qua đúng lúc, thật may quá.", タイマー, アクシデント, タイミング, アクション,,,x,,Thời gian,Sự cố,"Khoảnh khác, lúc",Hành
