stt,noidung,dịch,stt1,stt2,stt3,stt4,isdapan1,isdapan2,isdapan3,isdapan4,dich1,dich2,dich3,dich4
33,大学のホームページでBC大学の法学部には、六つのゼミがあります。ゼミでの活動（ ）、物事を論理的に考える力を身につけること ができます。,"Trên trang web của trường đại học, Trường Luật của Đại học BC có sáu cuộc hội thảo. Có thể học được khả năng tư duy logic thông qua các hoạt động hội thảo.",とは,にも,にとって,を通して,,,,x,,,"đối với, liên quan tới...",thông qua
34,34 （会社で）A「ねえ、昨日できたパンフレッ卜ってどこにある?」- B「えつと、どこだろう。」- C「ああ、（ ）、あの棚の中にあるよ。」,"Trên một chương trình truyền hình: Người điều hành: ""Morimori-san, xin chúc mừng bạn đã giành được giải thưởng Văn học lần thứ 5. Bạn cảm thấy thế nào bây giờ?""　Mori san: "" Tôi đã không nghĩ rằng mình sẽ nhận được giải thưởng, tôi thực sự rất vui, xin cảm ơn rất nhiều ạ.""",パンフレットなら,パンフレットでも,パンフレットについて,パンフレットのことで,x,,,,...なら：nếu là...,,,
35,（テレビ番組で）司会「森さん、第五回X文学賞受賞おめでとうございます。今のお気持ちはいかがですか。」 - 森もり「ありがとうございます。（ ）受賞できるとは思わなかったので、すごくうれしいです。」,,たとえ,まさか,せめて,かりに,,x,,,Ví dụ,真逆 ( Chân Nghịch ): Không ngờ,Ít nhất thì; tối thiểu là,仮に( Giả ) : giả định; giả sử; tạm thời; tạm; cứ cho là
36,毎朝体操を（ ）、硬かった体が柔らかくなった。,"Khi tôi tiếp tục tập thể dục mỗi sáng, cơ thể cứng đờ của tôi trở nên mềm dẻo hơn.",続けるうちに,続けるからには,続けるとすると,続けるかというと,x,,,,～ うちに：Trong lúc – Trong khi。Diễn tả thực hiện một điều gì đó trong khi trạng thái đó vẫn chưa thay đổi hoặc trước khi nó thay đổi.,"～ からには：Một khi đã...thì sẽ, Bởi vì...nên。Là cách nói trình bày nhấn mạnh lý do, thể hiện thái độ, ý chí quyết tâm, sẵn sàng làm gì đó","～ としたら/ とすれば：Giả sử - Nếu。Là cách nói nêu lên điều kiện giả định, “giả sử nếu điều đó là sự thật”,",～かというと／かといえば：Nếu nói là...là cách nói phủ định một phần
37,囲碁・将棋クラブに入って半年。初めは（ ）が、最近少しずつ勝てるようになってきた。,"Đã nửa năm kể từ khi tôi tham gia câu lạc bộ cờ vây / Shogi. Lúc đầu tôi chỉ thua, nhưng gần đây tôi đã thắng từng chút một.",負けてばかりだった,負けたばかりだった,負けるところだった,負けているところだった,x,,,,"[Động từ thể て] + ばかり/ ばかりだ/ ばかりの : Chỉ làm gì, chỉ toàn làm gì",～ たばかりだ/ たばかりです: ~ Vừa mới… Dùng để thể hiện hành động vừa mới xảy,～ ところだった： Suýt nữa thì…,
38,38 政府の発表によると、景気は回復しつつある（ ）が、そうした実感はない。,"Theo thông báo của chính phủ, nền kinh tế đang phục hồi, nhưng không có cảm giác thực tế là như vậy.",つもりだ,おかげだ,ということだ,というものだ,,,x,,Dự định,sự giúp đỡ; sự ủng hộ; nhờ vào,Nghe nói là…Diễn tả sự nghe nói lại； Có nghĩa là…,
39,客「すみません、『山の中で』っていう本を探しているんですけど。」- 店員「はい、新刊コーナーに（ ）。ご案内します。」,"Khách hàng ""Xin lỗi, tôi đang tìm một cuốn sách có tên 'In the Mountains'."" - Thư ký ""Vâng, nó ở góc sách mới.Tôi sẽ hướng dẫn bạn. ”",いたします,おります,ございます,なさいます,,,x,,,,Kính ngữ あります　→ ございます,
40,40 先生「田中さん、この問題をどうやって（ ）、みんなの前で説明してください。」- 田中「はい、わかりました。」,"Giáo viên: ""Tanaka-san, hãy giải thích cách bạn giải quyết vấn đề này trước mặt mọi người."" - Tanaka: ""Vâng, tôi hiểu.""",解いたか,解いたのを,解いたとは,解いたことも,x,,,,,,,
41,先生「皆さん、海や川に落ちてしまったときは、無理に（ ）、仰 向になって、浮かんで助けを待つことが 大切です。」,"Giáo viên : “Tất cả mọi người, khi rơi xuống biển hoặc sông, điều quan trọng là nằm ngửa, nổi và chờ người giúp đỡ, thay vì cố gắng bơi một cách cưỡng bức.”",泳げなくなると,泳ごうとしないので,泳げなくなって,泳ごうとしないで,,,,x,không thể bơi đươc,vì không cố bơi,,đừng cố gắng bơi
42,春子「えりちゃん、みかん、好き?」- えり「うん、好きだけど。なんで?」- 春子「親しん戚せきがたくさん送ってきてくれたんだけど、一人じゃ食べ切れなくて。よかったら、少し（ ）?」えり「いいの?ありがとう。」,"- Haruko: Eri-chan, em có thích cam không?
- Eri ""Ừ, tôi thích nó. Nhưng sao á?""
- Haruko: `` Người thân của tôi đã gửi cho tôi rất nhiều, nhưng tôi không thể ăn hết một mình.
Nếu được,bạn có thể nhận một ít được không? ""
Eri: ""Anh chắc chứ? Thế em cảm ơn nhé.""",あげない,くれない,もらってくれない,もらってもらわない,,,,x,,,,
43,（夕食時に）妻「ねえ、このスープ、レシピ通りに作ったんだけど、どう?味、薄くない?もう少し塩を（ ）。」 - 夫「ううん、ちょうどいいよ。」,"(Vào bữa tối) Vợ:"" Này, tôi đã làm món súp này theo công thức. Chồng thấy vị thế nào, có nhạt không? Giá bỏ thêm tí muối thì được hơn ha."" Chồng:"" không, vừa rồi ấy vợ"".",入れたことはよかったね,入れたからよかったなあ,入れたほうがよかったかな,入れたところがよかったよね,,,x,,,,nên làm thế này thì tốt hơn. Giá mà (Hối hận),"Sau khi thử làm việc gì, thì nhận được kết quả."
44,高校野球全国大会を前に、X高校野球部の南 豊 選手は「監督やコーチが私たち一人一人に毎日熱心に指導を（ ）〇監督やコーチのためにも、優勝したいです。」と決意を述べた。,"Trước Giải bóng chày Trung học Quốc gia, Minami Yutaka của Câu lạc bộ Bóng chày Trung học X nói, ""Giám đốc và các huấn luyện viên đã huấn luyện chúng tôi rất nhiệt tình mỗi ngày. Thế nên,tôi muốn giành chiến thắng vì giám đốc và huấn luyện viên ''.",いらっしゃいました,してくださいました,まいりました,していただきました,,x,,,,làm ...“cho tôi” được nhìn từ bên trao.,,お～いただく」「ご～いただく」là cách nói lịch sự của 「～てもらう」
45,（教室で）生徒「これからご紹介するのは、私が新しい単語を覚える ★ ___ ___ ___ 思いついた方法です。皆 さんも、ぜひ試してみてください。」,（教室で）生徒「これからご紹介するのは、私が新しい単語を覚えるのにいい方法はないかとあれこれ考えた末に思いついた方法です。皆 さんも、ぜひ試してみてください。」(Trong lớp học) Học sinh: “Sau đây tôi sẽ giới thiệu về một phương pháp mà tôi đã nghĩ ra sau khi nghĩ về một cách tốt để học từ mới. Nhất định các bạn hãy thử nhé.,のに,とあれこれ考えた,末に,いい方法はないか,x,,,,覚えるのにいい方法: 「覚えるために良い」と言い換えることもできます。,,Một hồi,
46,"講師「片付けが苦手という話をよく聞きますが,それは ___ ★ ___ ___ だけなので,やり方を 身につければ必ず片付けられるようになります。」","講師「片付けが苦手という話をよく聞きますが、それは決して性格や能力の問題ではなくやり方を知らないだけなので、やり方を 身につければ必ず片付けられるようになります。」Giảng viên: “Tôi thường nghe mọi người nói rằng họ không giỏi trong việc ngăn nắp, nhưng đó không bao giờ là vấn đề về tính cách hay năng lực, chỉ là họ không biết cách làm mà thôi. Khi đã biết cách làm thì chắc chắn bạn có thể ngăn nắp.",決して,やり方を知らない,ではなく,性格や能力の問題,,,,x,決して~ない :tuyệt đối không.,,,
47,X市には、市民のための文化施設が ___ ★ ___ ___ 行っている。,"X市には、市民のための文化施設が二つあり音楽コンサートをはじめとしたさまざまな催しを 行っている。Thành phố X có hai cơ sở văn hóa cho người dân, tiêu biểu là buổi hòa nhạc và nơi tổ chức nhiều sự kiện .",はじめとした,二つあり,さまざまな催しを,音楽コンサートを,,,,x,"〜 をはじめ／はじめとして：Tiêu biểu như là, trước tiên là, trước hết là",,,
48,おなかがすいている ___ ___ ★ ___ だろう。,"おなかがすいているわけでもないのにおなかが鳴るのはどうしてだろう。Cũng không phải là do đói bụng, nhưng mà tại sao bụng lại kêu nhỉ.",どうして,おなかが鳴るのは,でもないのに,わけ,,x,,,,(Minh) なる: gáy;kêu; hót; hú; reo,,
49,___ ___ ★ ___ 先週から工事で休業中なので、今回は別のホテルに泊まることにした。,"主張に行くたびに泊まっているYホテルが先週から工事で休業中なので、今回は別のホテルに泊まることにした。Khách sạn Y Mỗi lần đi công tác đều trọ lại ở đó thì vì đang thi công sửa chữa nên đã đóng cửa từ tuần trước, vì thế lần này tôi quyết định trọ ở một khách sạn khác.",泊まっている,たびに,Yホテルが,出張に行く,x,,,,,,Cú mỗi lần,
