stt,noidung,dich,stt1,stt2,stt3,stt4,isdapan1,isdapan2,isdapan3,isdapan4,dich1,dich2,dich3,dich4,,,,,,,,,,,
1,この犬のロボットは動きが自然で、まるで（ほんもの）の犬のようだ。,"chú chó robot này cử động tự nhiên, giống hệt một chú chó thật vậy",本物,現状,事実,正式,x,,,,"本物 (BẢN VẬT) ほんもの : hàng thật, đồ thật","現状 (HIỆN TRẠNG) げんじょう : hiện trạng, tình trạng, tình hình","事実 (SỰ THỰC) じじつ : sự thực/thật, thực tế","正式 (CHÍNH THỨC) せいしき : chính thức, sự chính thức",,,,,,,,,,,
1,山下先輩は私の（あこがれ）で、いつか山下先輩のようになりたいと思 っている。,"tiền bối Yamashita là thần tượng của tôi, tôi muốn một ngày nào đó được giống như tiền bối Yamashita",あこがれ,望み,願い,夢,x,,,,"憧れ (SUNG) あこがれ : thần tượng, niềm mơ ước","望み (VỌNG) のぞみ : mong ước, ước muốn","願い (NGUYỆN) ねがい : nguyện vọng, mong muốn","夢 (MỘNG) ゆめ : giấc mơ, giấc mộng",,,,,,,,,,,
1,今日会社で京都支社から東京本社への（てんきん）を命じられ、今月末 に東京へ引っ越すことになった。,"hôm nay, tại công ty, tôi đã được bổ nhiệm chuyển việc từ công ty chi nhánh Kyoto lên tổng công ty tại Tokyo, cuối tháng này tôi sẽ chuyển nhà lên Tokyo",移行,転職,転勤,移住,,,x,,"移行 (DI HÀNH) いこう : chuyển đổi, chuyển giao","転職 (CHUYỂN CHỨC) てんしょく : chuyển việc, nhảy việc, thay đổi nghề nghiệp (bỏ việc A làm việc B)","転勤 (CHUYỂN CẦN) てんきん : chuyển công tác (chuyển việc nhưng trong cùng 1 công ty, không phải nghỉ việc)","移住 (DI TRỤ) いじゅう : di trú, di cư, thay đổi về địa điểm sống (từ quốc gia này sang quốc gia khác, từ nơi A sang nơi B - AB khoảng cách xa đáng kể)",,,,,,,,,,,
1,この辺りの農家は、無農薬で野菜を（さいばい）しています。,nông dân vùng này trồng rau mà không sử dụng thuốc trừ sâu,制 作,栽培,養成,製造,,x,,,"制作 (CHẾ TÁC) せいさく : chế tác, chế tạo những tác phẩm mang tính nghệ thuật cao","栽培 (TÀI BỒI) さいばい : trồng trọt, canh tác","養成 (DƯỠNG THÀNH) ようせい : chăm sóc, nuôi dưỡng, bồi dưỡng",製造 (CHẾ TẠO) せいぞう : chế tạo,,,,,,,,,,,
1,四彼は私の意見に対して何も言わなかったが、（うなずく）ことで同意 を示してくれた。,"bốn người bọn họ không nói gì về ý kiến của tôi, nhưng học đã thể hiện sự đồng ý bằng cách gật đầu",ふりむく,にらむ,かがむ,うなずく,,,,x,"振り向く (CHẤN HƯỚNG) ふりむく : đổi hướng, quay xe","睨む (NGHỄ) にらむ : liếc, lườm","屈む (KHUẤT) かがむ : khom lưng, cong lưng (có thể dùng để nói về trạng thái lưng bị gù)",頷く (HẠM) うなずく : gật đầu,,,,,,,,,,,
1,机の上がいろいろな物で（ごちゃごちゃ）しているから、早くきれいに片付 けよう。,"trên bàn có rất nhiều đồ vật bị vứt một cách bừa bãi, phải nhanh chóng dọn dẹp sạch sẽ thôi",きちんと,ぼんやり,ごちゃごちゃ,きょろきょろ,,,x,,chỉn chu,"mờ nhạt, không rõ ràng","xáo trộn, lung tung beng, tùm lum tà la","bồn chồn, ngơ ngác",,,,,,,,,,,
1,この仕事はとても(ハード)だ。,công việc này rất là khó,楽しい,簡単だ,大変だ,新しい,,,x,,LẠC,ĐƠN - GIẢN,ĐẠI - BIẾN,TÂN,,,,,,,,,,,
1,その話を聞いて(動揺した)。,tôi đã bị dao động (dao động tâm lý) khi nghe câu chuyện này,うれしくなった,不安にな った,不満に思った,面白いと思った,,x,,,,BẤT - AN,BẤT - MÃN,DIỆN - BẠCH - TƯ,,,,,,,,,,,
1,早く(引き返した)ほうカヾいい。,nên nhanh chóng quay lại,払った,直した,戻った,答えた,,,x,,"払う (PHẤT) はらう : trả lại, phủi đi, xua đuổi",直す (TRỰC) なおす : sửa lại,"戻る (LỆ) もどる : trở lại, quay lại",答える (ĐÁP) こたえる : trả lời,,,,,,,,,,,
1,機能を(一層)強化したい。,(tôi) muốn nâng cấp (cường hóa) công năng thêm 1 nấc (1 bậc) nữa,すぐに,少し,できるだけ,もっと,,,,x,直ぐに (TRỰC)すぐに : ngay lập tức,"少し (THIỂU)すこし : một chút, một ít",できるだけ (XUẤT LAI) 出来るだけ : Cố gắng hết sức có thể trong khả năng của mình,もっと : hơn nữa,,,,,,,,,,,
