stt,noidung,dich,stt1,stt2,stt3,stt4,isdapan1,isdapan2,isdapan3,isdapan4,dich1,dich2,dich3,dich4
11. ,宿題を（ ）提出するよう、先生に言われた。,Tôi bị thầy nhắc là hãy nộp lại bài tập về nhà.,復,改,再,補,,,x,,(Phục),(Cải),(Tái)再提出：さいていしゅつ→Nộp lại,(Bổ)
12. , あの人は都会（ ）だ。,Người đó sinh ra ở thành phố (dân thành phố),育ち,過ごし,始まり,生き,x,,,,都会育ち：とかいそだち→Sinh ra ở thành phố,"すごし→sống, trải qua",はじまり→bắt đầu,いき→Sống
13. ,（ ）仕事終わったので、休憩しよう。," Làm xong 1 phần công việc rồi, nghỉ ngơi thôi",半,短,小,一,,,,x,(Bán)はん→1 nửa,(Đoản)みじかい・たん→ngắn,(Tiểu)しょう→Nhỏ,一仕事：1 phần công việc
14. ,彼の演技はとても個人的で、見る人の（ ）が大きく分かれる。,"Do diễn xuất của anh ấy rất mang tính cá nhân, nên sự đánh giá của người xem được phân chia khá lớn.",考慮,評価,信頼,測定,,x,,,(Khảo lự)こうりょ→Suy nghĩ,(Bình giá )ひょうか→Đánh giá,(Tín lại)しんらい→Tin tưởng,(Trắc định)そくてい→Trắc định
15. ,話し合いでは、相手の意見を（ ）し、よく聞くことが大切だ。,Trong những cuộc bàn bạc thì việc tôn trọng và lắng nghe ý kiến của đối phương là điều quan trọng,尊重,信仰,提案,発揮,x,,,,(Tôn trọng)そんちょう→tôn trọng,(Tín ngưỡng)しんこう→Tín ngưỡng,(Đề án)ていあん→Đề xuất,(Phát huy)はっき→Phát huy
16. ,この商品は、健康を気にする40代から50代の人を（ ）に開発しました。,Sản phẩm này được sản xuất để nhắm tới những người đang quan tâm tới sức khỏe ở độ tuổi 40-50,ゴール,インパクト,アピール,ターゲット,,,,x,Đích (goal),"Tác động, ảnh hưởng ( impact)",Làm nổi bật (Appear),Nhắm tới (target)
17. ,佐藤さんは服装や髪形が個性的で、他の人とは違う（ ）の雰囲気がある。,Anh Sato có trang phục và màu tóc rất cá tính nên có cảm giác đặc biệt khác với người khác ,定着,専用,独特,区別,,,x,,"(Đinh trước) ていちゃく→Định hình, ổn định",(Chuyên dụng)せんよう→Chuyên dụng,"(Độc đắc)どくとく→Đặc sắc, riêng biệt",(Khu biệt)くべつ→Phân biệt
18. , 前回の大会では、あの二人は最後まで優勝を（ ）していた。,"Trong đại hội lần trước, 2 người đó đã tranh giành chức vô địch cho tới cùng",戦って,争って,奪って,破って,,x,,,"(Chiến)たたかう→Chiến đấu, thi đấu","(Tranh)あらそう→Chiến tranh, trnah giành",(Đoạt)うばう→Chiếm đoạt,(Phá)やぶる→phá
19. ,高橋さんの家を訪ねたが、みんな出かけているようで、人の（ ）がなかった。,"Tôi đã tới thăm nhà anh Takahashi, nhưng có vẻ như là không có ai ở nhà, cảm giác như nhà không có người. ",動作,実感,気配,状態,,,x,,(Động tác) どうさ→Động tác,"(Thực cảm)じっかん→cảm giác thực, cảm nhận thực tế","(Khí phối)けはい→Cảm giác, cảm nhận","(Trạng thái)じょうたい→Trạng thái, tình trạng"
20. ,彼は自分で決めたルールも守らない、（ ）人だ。,"Anh ấy không tuân thủ những quy tắc do mình đề ra, là người không có quy củ.",不規則な,あやふやな,大まかな,いいかげんな,x,,,,(Bất quy tắc)ふきそく→Không có nguyên tắc,"Mập mờ, quanh co","おおまか→Qua loa, đại khái",Vô trách nhiệm
