stt,noidung,dich,stt1,stt2,stt3,stt4,isdapan1,isdapan2,isdapan3,isdapan4,dich1,dich2,dich3,dich4,,,,,,,,,,,
31,野党の追及に対し、大臣は満足な回答だできなかったどころか、 質問の内容（ ）理解できていなかった。,"Đối với những lời bắt bẻ của đảng đối lập, ngay cả câu hỏi bộ trưởng cũng không hiểu chứ nói gì tới việc đưa ra câu trả lời thỏa đáng.
Nのどころか～ Nói gì đến việc N",すら,こそ,のみ,ほど,x,,,,Ngay cả,Chính (あなたこそ→Chính bạn ),Chỉ ( giống với だけ),Đến mức,,,,,,,,,,,
32,最近（ ）パソコンの調子がおかしい。この状態が続くよう だったら一度修理に出した方がよさそうだ。,Tình trạng của máy tính có vẻ hơi lạ. Nếu cứ tiếp tục như thế này chắc là nên thử mang đi sửa 1 lần xem sao.,ちっとも,いったい,どうも,ま さか,,,x,,Một chút cũng ... Không,"Rốt cuộc là, cụ thể là...","Có vẻ như, dường như là...","Không thể nào, không lẽ nào",,,,,,,,,,,
33,（広告で）川西ピアノ教室では、初心者、経験者（ ）、どなたにでも丁寧に指導します。,"(Trong tờ quảng cáo) Tại lớp học piano Kawanishi, chúng tôi sẽ chỉ dạy tận tình bất kể bạn là người có kinh nghiệm hay không",を通して,を問わず,にかけて,にもかかわらず,,x,,,"をとおす→Thông qua, trải qua","をとわず→Bất kể, không phân biệt","Nói về, bàn về (技術にかけては彼に勝てる人はいない→Nói về kỹ thuật thì không ai thắng được anh ấy)",Bất chấp,,,,,,,,,,,
34,めったに出かけないのに、外出するとき（ ）大雨になる。,Hiếm lắm tôi mới đi ra ngoài vậy mà đúng lúc ra ngoài thì trời lại mưa.,にあたって,にかぎって,において,に際して,,x,,,"Nhân dịp, nhân lúc, nhân cơ hội","Chỉ vào lúc, đúng vào lúc, chỉ vào trường hợp .... Thì","Vào, về, ở ... ( bằng với で)","Vào lúc, dịp ... ( giống với 時)",,,,,,,,,,,
35,昨夜よく眠れなかった（ ）、体がだるい。,Chắc là do hôm qua ngủ không ngon nên người mệt quá,からには,わけか,あまりに,せいか,,,,x,Một khi đã ... Thì phải ...,Có nghĩa là...,"Quá, nhiều",Tại vì,,,,,,,,,,,
36,初めてこの町を訪れたが、不思議な（ ）、ずっと前からここに 住んでいるような気がする。,"Lần đầu tiên tôi tới thăm thành phố này, nhưng thật kỳ lạ, tôi cảm giác như đã sống ở đây từ trước rồi.",ことに,うえに,くせに,ものに,x,,,,"Thật là, rất là...",Sau khi,Mặc dù - Mang ý trách móc (知っているくせに教えてくれない → Mặc dù biết mà nó không chỉ ),,,,,,,,,,,,
37,（会社で）A「じゃ、来週の打ち合せも水曜日でいいですか？」B「あ、スケジュールを（ ）ちょっとわからないので、あとで連絡します。」,(Ở công ty) Công ty A : Vậy họp tuần sau cũng để vào thứ 4 có được không ?. Cônng ty B : Không xem lịch là tôi không biết được nên tôi sẽ liên lạc lại sau nhé.,確認していないと,確認してみないと,確認しているか,確認してみるか,,x,,,,Nếu không xác nhận thì ...,,,,,,,,,,,,,
38,「一つの仕事を少なくとも三年は（　　　）、どこに行っても何 もできない」と言われた。,"Người ta nói rằng, nếu 1 công việc mà không duy trì được 3 năm thì đi đâu cũng không làm được việc.", やり続けられなかったら, やり続けられなくなっても, やり始められなかったら, やり始められなくなっても,x,,,,やり続けられる→Làm liên tục ( thể khả năng ),Cho dù không làm tiên tục,Nếu không bắt đầu làm,Cho dù không bắt đầu làm được nữa,,,,,,,,,,,
39,仕事でも勉強でも、一度やると決めたら最後まで（　）ことが大 事だと思う。,"Cho dù học hay làm việc cũng vậy, tôi nghĩ rằng việc một khi đã làm thì phải làm tới cùng là rất quan trọng",やり直す, やり だす, やり抜く, やるかける,,,x,,Làm lại,Bắt đầu làm,やりぬく→Làm tới cùng,"Làm dở , làm giữa chừng",,,,,,,,,,,
40,"（受付で）山川「すみません。ABC社の山川と申しますが、経営部の中西さんをお願いします。」
- 受付「申し訳ございません。中西はただいま外出しております。」 
- 山川「え、中西さんご本人から、この時間だったらいらっしゃると（　　　）が。」","Yamakawa : Xin lỗi. Tôi là Yamakawa của công ty ABC, xin cho tôi gặp anh Nakanishi của bộ phận kinh doạnh.
Tiếp tân : Xin lỗi. Anh Nakanishi hiện đang đi ra ngoài.
Yanakawa : Hmm, tôi nghe từ anh Nakanishi là khoảng giờ này là anh ấy sẽ có mặt mà ...", お聞きになったんです,申し上げたんです, ご存じなんです, うかがったんです,,,,x,,,,Khiêm nhường ngữ của 聞く,,,,,,,,,,,
41,職業が決まった会社に「早く働きたい」と話したら、その後連絡 が来て、就職するまでの間、アルバイトを（　　　）。,"Sau khi nói với công ty mà tôi được nhận rằng ""muốn đi làm sớm"" thì sau đó họ đã liên lạc tới, và họ đã cho tôi đi làm baito cho tới khi vào công ty.", してあげることになった, してもらうことにした, させてあげることにした, させてもらうことになった,,,,x,Phải làm gì đó cho ai đó,Ai đó làm gì đó cho mình,Cho phép ai đó làm gì đó,Được ai đó cho phép làm gì đó,,,,,,,,,,,
42,"Ａ「先輩に食事に誘われちゃって。どうしよう。行きたくないな あ。」
B「どうして悩むの？嫌なら（　　　）？」
A「そうなんだけど、先輩だし、断りにくくない？」","A : Được sempai mời đi ăn. Sao bây giờ. Tôi không muốn đi.
B : Sao lại phải đau đầu làm gì ? Không đi thì chỉ cần từ chối là dược mà.
A : Thì là vậy, nhưng là sempai, hơi khó từ chối phải không ?",ことわればいいだけなの,断りたいだけなの,断ればいいだけでしょう,断りたいだけでしょう,,,x,,,,Chỉ cần từ chối là được mà,,,,,,,,,,,,
43,もうすぐ高校卒業だ。この学校で先生や友達と過ごす ___ ★ ___ ___,もうすぐ高校卒業だ。この学校で先生や友達と過ごすあと数週間だと思うと寂しいが増している → Sắp tốt nghiệp cấp 3 rồi. Cứ nghĩ tới việc chỉ được học cùng thầy cô và các bạn trong vài tuần nữa là nỗi buồn của tôi lại tăng lên,あと数週 間だ, と思うと, もの, 寂しさが増している,x,,,,,,,,,,,,,,,,,,
44,"A：サラリーマンから農家 ___ ___ ★ ___ があるんだね。
B：自分の夢をどうしてもあきらめきれなくてね。",サラリーマンから農家になるとはすいぶん勇気があるんだね。→ Từ một người làm công ăn lương mà trở thành một người nông dân thì bạn phải dũng cảm lắm nhỉ.,勇気, とは, ずいぶん,になる,,,x,,ゆうき→Dũng khí,,Khá là,,,,,,,,,,,,
45,遠足の日の朝、娘は、「いってきます」と　___ ___ ★ ___ 飛び 出していった。,"遠足の日の朝、娘は、「いってきます」と言い終わるか終わらないかのうちに玄関を飛び 出していった。→ Buổi sáng ngày đi dã ngoại của trường, con trai chưa nói xong câu chào ""con đi đây"" nó đã lao ra khỏi cửa nhà rồi.", 終わらないか, 言い終わるか, 玄 関を, のうちに,,,,x,,,げんかん→Cửa,,,,,,,,,,,,
46,参考書を読んで完壁に　___ ___ ★ ___ ということがよくある。,"参考書を読んで完壁に理解したつもりで問題を解いて見るとできないということがよくある。→ Có rất nhiều trường hợp đọc sách tham khảo rồi cứ nghĩ mình đã hiểu hoàn toàn, đến lúc giải bài tập thì lại không làm được.", 理解した, 　できない, 問題を解いて見ると, 　つもりです,,x,,,りかい→Lý giải,,解く（とく）→ giải,,,,,,,,,,,,
47,この池に　___ ___ ★ ___ そうだ。,"この池にすむ魚の中には100年以上生きるものもいるそうだ。→ Nghe nói là trong số những con cá sống ở ao này, có con đã sống hơn 100 năm rồi.", ものもいる, 　魚の中には, すむ, 　100年以上生きる,,,,x,,,,,,,,,,,,,,,
