stt,noidung,dich,stt1,stt2,stt3,stt4,isdapan1,isdapan2,isdapan3,isdapan4,dich1,dich2,dich3,dich4
1,（倒さない）ように気をつけてください。,Hãy chú ý đừng làm đỏ., くずさない ,たおさない,こわさない, つぶさない,,x,,,"崩す→Làm vỡ, phá vỡ",làm đổ,壊す→Làm hỏng,潰す→Bẹp
2,今回の件での（損害）は数千万円にのぼった。,Tổn hại của vụ việc lần này đã lên tới vài nghìn vạn yên, ひがい , そんかい ,そんがい, ひかい,,,x,,被害→Bị dại,,Tổn hại,
3,思ったより（険しい）山道だった。,Con đường núi nguy hiểm hơn tôi tưởng,くるしい,さびしい, はげしい ,けわしい,,,,x,"苦しい→Vất vả, khó khăn",寂し→Buồn,激しい→Khốc liệt,"Nguyên hiểm, hiểm trở"
4,この辺りは（比較的）人通りが少ない。,Khu vực quanh đây tương đối ít người qua lại,ひこうてき, ひこてき , ひかくてき,ひかてき,,,x,,,,"Khá là, tương đối",
5,飛行機は（下降）を始めた。,Máy bay bắt đầu hạ cánh,かこう,かくう, げこう ,げくう,x,,,,,,,
6,鈴木さんは（あざやか）な色のシャツを着ていた。,Anh Suzuki đang mặc cái rực rỡ,鮮やか,美やか,清やか,純やか,x,,,,"(Tiên) Rực rỡ, chói lóa",(mỹ),(thanh),(thuần)
7,今年の夏休みは（きせい）の予定はありません。,Nghỉ hè năm nay thì tôi không có ý định về quê,帰勢,帰斉,帰省,帰成,,,x,,,,(quy - tỉnh) Về quê,
8,もう少し（ちぢめて）ください。,Hãy cho nó ngắn lại thêm 1 chút,薄めて,納めて,貯めて,縮めて,,,,x,"(Bạc)うすめる→Làm mờ, làm nhạt đi",(Nạp)おさめる→Nộp,(Trữ0ためる→Trữ,"(Súc) thu gọn, rút ngắn lại"
9,これからさまざまなことを（じっせん）していきたい。,Từ nay thì tôi muốn được thực hành thật là nhiều điều,実施,実践,実桟,実旋,,x,,,(Thực thi) じっし→thực thi,(Thực tiễn)じっせん→thực tiễn,,
10,西村氏の作品の中ではこの小説は、かなり（いしょく）だ。,Trong những tác phẩm của anh Ishimura thì tiểu thuyết này mang màu sắc khá riêng biệt,異色,違色,異食,違食,x,,,,(Dị sắc) Màu sắc tiêng biệt,,,
