stt,noidung,dich,stt1,stt2,stt3,stt4,isdapan1,isdapan2,isdapan3,isdapan4,dich1,dich2,dich3,dich4
31,明日、海外に留学中の友人が1年（ ）帰国する。会って話を聞くのが楽しみだ。,"Ngày mai, người bạn đi du học nước ngoài của tôi sẽ về nước sau 1 năm. Tôi đang háo hức để gặp nó nói chuyện.", おきに,たびに,ぶりに,うちに,,,x,,Cứ cách mỗi ..., ,Cách 1 khoảng thời gian nào đó. 10年ぶりに... : 10 năm rồi chưa làm gì đó.,Trong lúc
32,12年間付き合っている彼女に、今年（ ）結婚を申し込もうと思っている。,Tôi định chính vào năm nay sẽ đăng ký kết hôn với cô gái mà tôi đã yêu suốt 12 năm qua,こそ ,さえ,すら,のみ,x,,,,Chính,Chỉ cần,Ngay cả,Chỉ. Giống với だけ
33,腰の曲がった老人に似ている（ ）、エビは「海老」とも書かれると聞いた。,Vì lưng cong giống như người già nên con tôm được viết với chữ hán là [hải lão],ものを,とともに,うえで,ところから,,,,x,,Cùng với,Sau khi,"Từ...nên, vì... Nên"
34,上司「ゼミナー会場の準備はどう？順調？」  -  部下「ええ、いすも並べ終わりましたし、（ ）資料を受付に運ぶだけです。」,"Cấp trên : chuẩn bị cho hội thảo thế nào rồi? Ổn chứ?. -- Cấp dưới: dạ, bàn ghế em cũng xếp xong rồi, còn lại chỉ cần mang tài liệu tới quầy tiếp tân nữa là xong.",特に ,あとは,少しも,あまりに,,x,,,Đặc biệt là,"Sau đó, sau",Một chút cũng,"Không hay..., không nhiều"
35,"このテニスコートの利用料金は2時間1,000円で、1時間しか使わない（ ）、1,000円払わなければならない。","Phí chơi ở sân tenis này 2 tiếng là 1000 yen, trong trường hợp chỉ chơi 1 tiếng thôi cũng phải trả 1000yen.", 場合でも, 点でも ,場合には,点には,x,,,,Cả trường hợp,Ngay cả điểm,Trong trường hợp,"Ở điểm, ở mặt ..."
36,毎日日記を書きつづけることは、（ ）、けっこう難しいことだ。,Việc viết nhật ký hằng ngày tưởng đơn giản nhưng khá là khó,簡単らしいし, 簡単なようであれば , 簡単らしくて,簡単なようでいて,,,,x,Vừa dễ mà vừa ...,Nếu mà có vẻ dễ,Có vẻ dễ,Có vẽ dễ nên...
37,梅雨に入ってもほとんど雨が降らないので、庭の花が（ ）心配だ。,"Vào mùa mưa rồi mà trời vẫn không mưa, tôi lo hoa trong vườn sẽ bị héo mất",枯れていないことで, 枯れてしまわないか ,枯れていないからと ,枯れてしまわないのを,,x,,,,枯れてしまう→枯れてしまわない：Không bị héo mất à. (Lo lắng không biết cây của mình có bị héo mất không ),,
38,今日は、本当は映画を（ ）が、雪が降ってきたので、やめた。,"Hôm nay tôi định sẽ đi xem phim, nhưng vì tuyết rơi nên tôi đã không đi nữa.",見に行ってばかりだ, 見に行ったばかりだ , 見に行くつもりだった ,見に行ったつもりだった,,,x,,,Vừa mới đi xem,Dự định đi xem,Đã dự định đi xe
39,今回の戦略が有効であったかどうかは、まだ結果が出ていない現時点では（ ）。,Việc chiến lược lần này có hiệu quả hay không tại thời điểm mà chưa có kết quả như hiện tại thì không thể phán đoán được.,判断すべきだ,判断しかねる,判断したにすぎない,判断ざるを得ない,,x,,,Nên phán đoán,Không thể phán đoán,Chỉ là phấn đoán,Bắt buộc phải phán đoán
40,この馬の絵は本物そっくりに描かれていて、今にも（ ）。,"Con ngựa này được vẽ y như thật vật, giống như là đang chạy vậy.",走っていたい,走っているようだ,走り出しそうだ,走り出したがる,,,x,,Muốn chạy,Như là đang chạy,Có vẻ dễ vẻ như sẽ chạy,Muốn chạy
41,私たちが旅館に着くと、従業員たちが笑顔で「ようこそ（ ）」とあいさつしてくれた。,"Khi tôi tới lữ quán, những nhân viên ở đây đã niềm nở chào rằng ""Kính chào quý khách, chào mừng quý khách đã tới""",お越しくださいました,お伺いました,お呼びいただきました,お迎えしました,x,,,,Tới,Hỏi,Gọi,Đón
42,"木村「田中くん、アルバイトを探してるんだって？」
田中「うん、そうなんだ。」
木村「私が働いている店がアルバイトを募集しているから応募してみない？もちろん田中さんが（ ）。」","Kimura: ""cậu tanaka đang tìm việc làm thêm à"". - Tanaka:""đúng rồi"". - Kimura:""chỗ tôi đang làm có tuyển baito đó, thử ứng tuyển không ? Tất nhiên là cậu thích hay không nữa.""",いいなんて,よかったっけ, いいからだよね ,よければだけど,,,,x,,,,"Nếu mà được,nếu mà tốt"
