stt,noidung,dich,stt1,stt2,stt3,stt4,isdapan1,isdapan2,isdapan3,isdapan4,dich1,dich2,dich3,dich4,,,,,,,,,,,
31,テレビの後ろ側は、すぐほこり（）になってしまう。,Mặt sau của TV thì nhanh chóng bị bám bụi.,きり,じゅう,ぐらい,だらけ,,,,x,霧　( Vụ) きり: sương mù; phủ sương mù,,"ぐらい： Đến (khoảng) mức độ, (gần như) đủ rằng,","「だらけ」はよくないものがいっぱいある。=> Có nhiều thứ xấu, không tốt như là toàn bụi rác trong phòng, toàn lỗi sai chẳng hạn",,,,,,,,,,,
32,"A「ねえ、明日、有事があるって言ってたけど、パーティーには 来られそう?」 
- B「有事が何時に終わるかわからないんだよ。行ける（ ）、多分、途中からになると思う","A: Này, vào ngày mai cậu nói là có việc bận, thế nhưng cậu có thể đến bữa tiệc không?) - B: Tôi không biết khi nào thì xong việc. nhưng nếu đi được thì tôi nghĩ chắc là vào lúc giữa chừng.",からって,ものなら,どころか,としても,,x,,,,ものなら：Nếu có thể thì muốn làm gì đó,所か　( Sở) どころか: Chẳng những...mà còn; Khoang nói tới.,としても：Dù gì; giả sử là đi chăng nữa,,,,,,,,,,,
33,X社は、新しい事業を始める（ ）、現在、社員を募集している。,Công ty X hiện đang tuyển nhân viên để bắt dự án mới.,とすると,にあたって,からには,のだったら,,x,,,,,,,,,,,,,,,,,
34,私はピアノを弾くことが、好き（ ）好き（ ）たまらない。,Tôi rất yêu thích chơi piano.,が/が,に/に,で/で,は/は,,,x,,,,て～て...Ơi...là quá,,,,,,,,,,,,
35,"（電話で）田中「ねえ、明日のイベントの準備、終わった? 小川 「まだ終わってないけど、まあ、大丈夫だよ。」
田中「（ ）小川さんの楽観的な性格がうらやましいよ。」","(Điện thoại) Tanaka: Này, bạn đã chuẩn bị xong cho sự kiện ngày mai chưa? 
Ogawa: ""Vẫn chưa kết thúc, nhưng không sao."" 
Tanaka: Tôi ghen tị với tính cách lạc quan của Ogawa.",そんなに,あんなに,そういう,ああいう,,,,x,,,,,,,,,,,,,,,
36,日曜日に行われたマラソン大会に弟が参加して、10キロのコース を45分で（ ）。,Em trai tôi tham gia cuộc thi marathon được tổ chức vào Chủ nhật và chạy cự ly 10km trong 45 phút.,走りきった,走り始めた,走ってばかりだ,走るようにする,x,,,,"走りきる：Chạy xong, hoàn thành",,,,,,,,,,,,,,
37,子供のころ、海水浴に行く前の日はいつも「どうか明日は雨が（ ）」ながら寝ていた。,"Khi tôi còn nhỏ, trước ngày đi biển tôi lúc nào cũng nói: ""Mong là ngày mai trời không mưa."" lúc ngủ.",降ることはありません,降りませんように,降らなくてもいい,降らないでしょうか,,x,,,,"Động từ thể ます＋ように: Mong là, ước là",,,,,,,,,,,,,
38,鈴木選手は、アマチュア時代に何度かこの大会に出場しているが 、プロの選手（ ）今回が初めての出場だ。,"Suzuki đã tham gia giải đấu này vài lần với tư cách là một tay　nghiệp dư, nhưng đây là lần đầu tiên anh xuất hiện với tư cách là một tuyển thủ chuyên nghiệp.",としては,としても,にとっては,にとっても,x,,,,としては：Với tư cách là..,,,,,,,,,,,,,,
39,泣くのを我慢（ ）、逆に涙はあふれ出した。,"Càng cố kìm nước mắt, nước mắt càng trào ra.",しようとする ことから,しそうになることから,しようとすればするほど,しそうになればなるほど,,,x,,,,Ⅴすればするほど：Càng..càng...,,,,,,,,,,,,
40,押し入れを片付けていたら、子供のことに大切にしていたぬいぐ るみが出てきた。（ ）と思ったが、どうしても捨てられなかった。,"Khi tôi đang thu dọn tủ quần áo, tôi tìm thấy một con thú nhồi bông mà tôi đã nâng niu khi còn nhỏ. Tôi đã nghĩ đến việc vứt bỏ nó, nhưng tôi không thể.　＊縫いぐるみ：（Phùng) thú nhồi bông.",捨ててくるだろう,捨てている のだ,捨ててあるのか,捨ててしまおうか,,,,x,,,,"Vてしまいました、Vてしまう：có hai nghĩa. có nghĩa là lỡ, mất( thể hiện việc nuối tiếc, không hề muốn ở quá khứ); nhưng cũng có nghĩa là cho xong, cho rồi(thể hiện một hành động sắp hoàn thành trong tương lai gần và cũng mang ý nghĩa nuối tiếc).しまおう",,,,,,,,,,,
