stt,noidung,dich,stt1,stt2,stt3,stt4,isdapan1,isdapan2,isdapan3,isdapan4,dich1,dich2,dich3,dich4
21. ,ボランティアで町の名所を（ガイド）している。,Tôi đang làm việc tình nguyện hướng dẫn những nơi nổi tiếng trong thành phố,案内して,宣伝して,調査して,記録して,x,,,,(Án nội)あんない→Hướng dẫn,(Tuyên truyền)せんでん→Tuyên truyền,(Điều tra)ちょうさ→Điều tra,"(Kí lục)きろく→Kỷ lục, ghi chép"
22. ,山口さんも（真剣に）作っていた,Anh Yamaguchi cũng đang làm một cách nghiêm túc,上手に,自由に,積極的に,まじめに,,,,x,"(Thượng thủ)じょうず→Giỏi, khéo ",(Tự do)じゆう→Tự do,(Tự do đích)せっきょくてき→Mang tính tích cực,Ban đầu
23. ,彼女のような歌手は（まれだ）と思う。,Tôi nghĩ rằng hiếm có ca sĩ nào giống như cô ấy.,あまりいない,人気が出ない,人気が出る,たくさんいる,x,,,,Không hay có,"Không được đánh giá tốt, không được ưa thích",Được ưa thích,Có nhiều
24. ,この道は（終日）通行止めです。,Con đường này tới cuối ngày sẽ cấm đi lại,週末,夜間,一日中,今日まで,,,x,,(Chu mạt)しゅうまつ→Cuối tuần,(Dạ gian)やかん→Giữa đêm,(Nhất nhật trung)いちにちじゅう→Trong cả ngày,きょうまで→Cho tới hôm nay
25. ,青木さんは髪を（いじって）いた。,Anh aoki đã mân mê tóc,切って,触って,洗って,乾かして,,x,,,(Thiết)きる→Cắt,(Xúc)さわる→Sờ,(Tiễn)あらう→Rửa,(Can)かわかす→Làm khô
26. ,初期,(Sơ kỳ ) thời kỳ đầu, 曲の初期の部分を聞いただけで、題名が何かわかりました。 , この建物は有名な建築物で、明治時代の初期に建てられました。,池田選手は、試合の初期では負けていたが、最後には勝つことができた。, 今日は朝から雲に覆われ、初期は雨だったが、途中から雪に変わった。,,x,,,"曲（きょく）bài hát, 題名（だいめい）Tiêu đề.  =>Vì chỉ nghe mình đoạn đầu của bài hát nên tôi không biết tên bài hát là gì.","建物（たてもの）Tòa nhà, 明治時代（めいじじだい）Thời minh trị. => Đây là tòa nhà nổi tiếng được xây dựng vòa giai đoạn đầu thời Minh trị.","先週（せんしゅう）Cầu thủ, 試合（しあい）Trận đấu. => Tuyền thủ Ikeda đầu trận đấu đã thua nhưng cuối cùng thì anh ấy đã thắng","雲（くも）Mây, 覆う（おおう）Che phủ、途中（とちゅう）Giữa chừng. => Hôm nay từ sáng trời đã phủ đầy mây, lúc đầu thì mưa nhưng giữa chừng chuyển thành tuyết rơi."
27. ,打ち明ける,"うちあける→thẳng thắn, cởi mở, nói rõ suy nghĩ",仕事でわからないことがあれば、彼が何でも打ち明けてくれます。, 谷口さんが戻ってきたら、伝言を打ち明けておいてもらえますか。 , 大事な情報はすぐに上司に打ち明けましょう。 ,ずっと秘密にしていたことを友達に打ち明けた。,,,,x,"Trong công việc khi có chỗ không hiểu, bất kể vấn đề gì anh ta cũng chỉ cho tôi.",Sau khi anh Taniguchi về thì có thể chuyển lời tới anh ấy giúp tôi được không,Hãy ngay lập tức báo cáo lại những thông tin quan trọng với cấp trên,Tôi đã tiết lộ bí mật mà mình giấu mãi với bạn bè
28. ,欠陥,(Khuyết hãm) けっかんkhuyết điểm,あの人の欠陥は、自分に都合の悪いことがあるとうそをつくことだ。,眼鏡のレンズを硬い布でふいたら、欠陥がついてしまった。,発表された車のブレーキに欠陥が見つかり、販売が中止された。,このサービスを利用することの欠陥は費用が非常にかかることだ。,,,x,,Chỗ không tốt của anh ta là có vấn đề gì bất lợi cho bản thân là anh ta sẽ nói dối.,Khi lấy khăn cứng lau mắt kính thì đã làm sước nó.,Phát hiện ra lỗi ở phanh của chiếc xe mới được bán ra nên đã tạm dừng kinh doanh,Vấn đề của việc sử dụng dịch vụ này là rất tốn phí
29. ,引退,(Dẫn thoái) いんたい→về hưu,山本さんは去年入学したばかりの大学を引退し、別の大学を受験するらしい。,これまで多くの名作を残した映画監督が、今回限り引退することを発表した。, この書店はもうすぐ商店街から引退し、駅前のビルの中で店を始めるらしい。 ,中村選手は前大会でのけがが回復せず、次の試合への出場を引退した。,,x,,,Nghe nói anh Yamamoto đã bỏ trường đại học mà anh ấy thi năm ngoái để thi vào trường khác.,Vị đạo diễn đã để lại nhiều tác phẩm nổi tiếng đã phát biểu rằng chính vào lần này anh ấy sẽ giải nghệ.,Nghe nói hiệu sách này sắp sửa rời tiệm khỏi khu phố buôn bán và mở tiệm ở tòa nhà trước ga.,Tuyển thủ Nakamura không thể hồi phục chấn thương vào đại hội trước và sẽ không tham gia được vào đại hội tới.
30. ,ぎっしり,"Đầy ắp, lèn chặt",大きな箱に本がぎっしり詰まっている。,ジュースがコップにぎっしり入っている。,少し太ったせいで、ズボンがぎっしりしている。, 朝の電車はいつも人でぎっしりしている。,x,,,,Sách nhét đầy một hộp to,Nước hoa quả đổ đầy cốc,Vì tôi béo lên 1 chút nên quần hơi bị chật,Tàu điện buổi sáng chật kín người
